"DRG.Definition","Provider.Id","Provider.Name","Provider.Street.Address","Provider.City","Provider.State","Provider.Zip.Code","Hospital.Referral.Region..HRR..Description","Total.Discharges","Average.Covered.Charges","Average.Total.Payments","Average.Medicare.Payments","DRG.Code","Comb.DRG","MORT","READM","Lat","Long"
"11","291 - HEART FAILURE & SHOCK W MCC","330014","JAMAICA HOSPITAL MEDICAL CENTER","89TH AVENUE AND VAN WYCK EXPRESSWAY","JAMAICA","NY","11418","NY - East Long Island","61","33493.96721","19889.62295","17827.42623","291","HF","13.3","26.0","40.701412","-73.816302"
"12","291 - HEART FAILURE & SHOCK W MCC","330019","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","2525 KINGS HIGHWAY","BROOKLYN","NY","11229","NY - Manhattan","106","42690.4434","14844.56604","14094.06604","291","HF","7.7","23.6","40.613783","-73.948321"
"13","291 - HEART FAILURE & SHOCK W MCC","330023","VASSAR BROTHERS MEDICAL CENTER","45 READE PLACE","POUGHKEEPSIE","NY","12601","NY - Albany","115","42879.42609","10832.98261","10080.43478","291","HF","13.6","22.5","41.694567","-73.935723"
"14","291 - HEART FAILURE & SHOCK W MCC","330024","MOUNT SINAI HOSPITAL","ONE GUSTAVE L LEVY PLACE","NEW YORK","NY","10029","NY - Manhattan","212","47326.76415","19126.06132","15344.38208","291","HF","9.8","23.4",NA,NA
"15","291 - HEART FAILURE & SHOCK W MCC","330027","NASSAU UNIVERSITY MEDICAL CENTER","2201 HEMPSTEAD TURNPIKE","EAST MEADOW","NY","11554","NY - East Long Island","38","42398.65789","20019.10526","17950.26316","291","HF","12.3","24.9","40.725302","-73.552691"
"16","291 - HEART FAILURE & SHOCK W MCC","330028","RICHMOND UNIVERSITY MEDICAL CENTER","355 BARD AVENUE","STATEN ISLAND","NY","10304","NY - Manhattan","40","41208.125","16279.975","14323.625","291","HF","12.2","23.1","40.63551","-74.106693"
"17","291 - HEART FAILURE & SHOCK W MCC","330030","NEWARK-WAYNE COMMUNITY HOSPITAL","111 DRIVING PARK AVENUE","NEWARK","NY","14513","NY - Rochester","14","19281.71429","8321.5","7739.785714","291","HF","11.5","26.4","43.060825","-77.099731"
"18","291 - HEART FAILURE & SHOCK W MCC","330033","CHENANGO MEMORIAL HOSPITAL, INC","179 NORTH BROAD STREET","NORWICH","NY","13815","NY - Binghamton","16","21853.9375","10921.625","10163.625","291","HF","12.8","22.3","42.541885","-75.524709"
"19","291 - HEART FAILURE & SHOCK W MCC","330043","SOUTHSIDE HOSPITAL","301 EAST MAIN STREET","BAY SHORE","NY","11706","NY - East Long Island","109","42735.46789","12592.31193","11777.25688","291","HF","13.8","22.1","40.724858","-73.240889"
"20","291 - HEART FAILURE & SHOCK W MCC","330044","FAXTON-ST LUKE'S HEALTHCARE","1656 CHAMPLIN AVENUE","UTICA","NY","13503","NY - Elmira","93","30549.45161","9590.72043","8718.376344","291","HF","13.8","24.4",NA,NA
"21","291 - HEART FAILURE & SHOCK W MCC","330045","HUNTINGTON HOSPITAL","270 PARK AVENUE","HUNTINGTON","NY","11743","NY - East Long Island","166","46283.57831","10391.03614","9487.945783","291","HF","12.4","22.2","40.879201","-73.417488"
"22","291 - HEART FAILURE & SHOCK W MCC","330046","ST LUKE'S ROOSEVELT HOSPITAL","1111 AMSTERDAM AVENUE","NEW YORK","NY","10025","NY - Manhattan","119","54289.16807","17486.0084","15592.57983","291","HF","9.3","23.6","40.770129","-73.987846"
"23","291 - HEART FAILURE & SHOCK W MCC","330047","ST MARY'S HOSPITAL AT AMSTERDAM","427 GUY PARK AVENUE","AMSTERDAM","NY","12010","NY - Albany","60","26075.38333","10432.18333","9144.733333","291","HF","14.5","21.0","42.953648","-74.216041"
"24","291 - HEART FAILURE & SHOCK W MCC","330049","NORTHERN DUTCHESS HOSPITAL","6511 SPRINGBROOK AVENUE","RHINEBECK","NY","12572","NY - Albany","21","33531.42857","10095.33333","9403.52381","291","HF","14.1","22.3","41.933823","-73.912744"
"25","291 - HEART FAILURE & SHOCK W MCC","330055","NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","56-45 MAIN STREET","FLUSHING","NY","11355","NY - East Long Island","151","46950.42384","15452.74172","13988.03311","291","HF","12.5","24.8","40.747529","-73.826102"
"26","291 - HEART FAILURE & SHOCK W MCC","330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","121 DEKALB AVENUE","BROOKLYN","NY","11201","NY - Manhattan","54","38566.14815","21054.33333","17955.2037","291","HF","11.5","26.3","40.689785","-73.9774"
"27","291 - HEART FAILURE & SHOCK W MCC","330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","ALBANY","NY","12208","NY - Albany","112","40820.79464","9946.616071","8961.857143","291","HF","11.5","21.5","42.656808","-73.804578"
"28","291 - HEART FAILURE & SHOCK W MCC","330058","GENEVA GENERAL HOSPITAL","196 -198 NORTH STREET","GENEVA","NY","14456","NY - Rochester","38","17792.18421","9331.789474","8180.763158","291","HF","11.9","24.1","42.875702","-76.988003"
"29","291 - HEART FAILURE & SHOCK W MCC","330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","BRONX","NY","10467","NY - Bronx","320","83626.775","20672.90938","17713.74063","291","HF","9.1","24.0","40.879777","-73.879975"
"30","291 - HEART FAILURE & SHOCK W MCC","330061","LAWRENCE HOSPITAL CENTER","55 PALMER AVENUE","BRONXVILLE","NY","10708","NY - White Plains","82","40104.54878","10446.92683","9641.853659","291","HF","10.6","26.4","40.941585","-73.836593"
"31","291 - HEART FAILURE & SHOCK W MCC","330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 TENTH STREET","NIAGARA FALLS","NY","14302","NY - Buffalo","15","21005","11586.53333","10750.4","291","HF","13.0","22.3","43.09408","-79.05048"
"32","291 - HEART FAILURE & SHOCK W MCC","330067","ST FRANCIS HOSPITAL","241 NORTH ROAD","POUGHKEEPSIE","NY","12601","NY - Albany","12","76363.08333","13270.33333","12417","291","HF",NA,NA,NA,NA
"33","291 - HEART FAILURE & SHOCK W MCC","330073","UNITED MEMORIAL MEDICAL CENTER","127 NORTH STREET","BATAVIA","NY","14020","NY - Buffalo","32","15628.09375","9436.90625","8458.65625","291","HF","11.9","25.7","43.003913","-78.177006"
"34","291 - HEART FAILURE & SHOCK W MCC","330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","CANANDAIGUA","NY","14424","NY - Rochester","16","17171.875","8284.875","7828.875","291","HF","12.5","23.8","42.874946","-77.289875"
"35","291 - HEART FAILURE & SHOCK W MCC","330078","SISTERS OF CHARITY HOSPITAL","2157 MAIN STREET","BUFFALO","NY","14214","NY - Buffalo","61","30721.34426","11783.13115","10256.63934","291","HF","12.6","23.1","42.92917","-78.849916"
"36","291 - HEART FAILURE & SHOCK W MCC","330079","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","SARANAC LAKE","NY","12983","VT - Burlington","13","17218.30769","10339.76923","9406.846154","291","HF","13.2","23.7","44.345789","-74.144635"
"37","291 - HEART FAILURE & SHOCK W MCC","330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","234 EAST 149TH STREET","BRONX","NY","10451","NY - Bronx","30","38232.53333","33349.86667","31606.8","291","HF","11.6","26.0","40.817681","-73.924072"
"38","291 - HEART FAILURE & SHOCK W MCC","330084","ALICE HYDE MEDICAL CENTER","133 PARK STREET","MALONE","NY","12953","VT - Burlington","16","10491.75","10290.5","9462.5","291","HF","11.6","23.5","44.856658","-74.29193"
"39","291 - HEART FAILURE & SHOCK W MCC","330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONE NORTON AVENUE","ONEONTA","NY","13820","NY - Binghamton","24","21486.16667","8969.666667","8115.041667","291","HF","13.1","23.0",NA,NA
"40","291 - HEART FAILURE & SHOCK W MCC","330086","MONTEFIORE MOUNT VERNON HOSPITAL","12 NORTH 7TH AVENUE","MOUNT VERNON","NY","10550","NY - White Plains","20","35202","16318.95","13419.7","291","HF","13.2","23.0","40.912754","-73.840011"
"41","291 - HEART FAILURE & SHOCK W MCC","330090","ARNOT OGDEN MEDICAL CENTER","600 ROE AVENUE","ELMIRA","NY","14905","NY - Elmira","53","25990.13208","9512.886792","8389.981132","291","HF","12.6","21.0","42.099256","-76.826668"
"42","291 - HEART FAILURE & SHOCK W MCC","330094","COLUMBIA MEMORIAL HOSPITAL","71 PROSPECT AVENUE","HUDSON","NY","12534","NY - Albany","30","22645.76667","9825.133333","8700.8","291","HF","10.9","23.7","42.246254","-73.776128"
"43","291 - HEART FAILURE & SHOCK W MCC","330096","JONES MEMORIAL HOSPITAL","191 NORTH MAIN STREET","WELLSVILLE","NY","14895","NY - Rochester","21","11232.38095","9212.238095","8578.333333","291","HF","14.7","21.5","42.122929","-77.949869"
"44","291 - HEART FAILURE & SHOCK W MCC","330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","NEW YORK","NY","10021","NY - Manhattan","368","92612.99728","23761.73641","19424.14674","291","HF","8.7","21.6","40.7642","-73.954457"
"45","291 - HEART FAILURE & SHOCK W MCC","330102","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","KENMORE","NY","14217","NY - Buffalo","30","19766.03333","8849.133333","7016.333333","291","HF","15.0","20.4","42.9779","-78.878678"
"46","291 - HEART FAILURE & SHOCK W MCC","330103","OLEAN GENERAL HOSPITAL","515 MAIN STREET","OLEAN","NY","14760","NY - Buffalo","53","14044.07547","8405.528302","7597.981132","291","HF","12.2","22.4","42.089448","-78.426977"
"47","291 - HEART FAILURE & SHOCK W MCC","330104","NYACK HOSPITAL","160 NORTH MIDLAND AVENUE","NYACK","NY","10960","NJ - Hackensack","109","48948.6789","11259.17431","10498.66055","291","HF","12.0","24.0","41.095841","-73.925034"
"48","291 - HEART FAILURE & SHOCK W MCC","330106","NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE","MANHASSET","NY","11030","NY - East Long Island","207","82807.73913","15845.48309","13368.13527","291","HF","10.8","21.6","40.779269","-73.703029"
"49","291 - HEART FAILURE & SHOCK W MCC","330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","RIVERHEAD","NY","11901","NY - East Long Island","57","39120.38596","11571.85965","10444.50877","291","HF","13.7","21.5","40.933577","-72.674317"
"50","291 - HEART FAILURE & SHOCK W MCC","330119","LENOX HILL HOSPITAL","100 EAST 77TH STREET","NEW YORK","NY","10021","NY - Manhattan","79","108915.9873","18247.3038","14947.39241","291","HF","9.2","24.9","40.773964","-73.96061"
"51","291 - HEART FAILURE & SHOCK W MCC","330125","ROCHESTER GENERAL HOSPITAL","1425 PORTLAND AVENUE","ROCHESTER","NY","14621","NY - Rochester","190","18607.45789","10322.04211","9161.084211","291","HF","10.6","25.7","43.192542","-77.584424"
"52","291 - HEART FAILURE & SHOCK W MCC","330126","ORANGE REGIONAL MEDICAL CENTER","707 EAST MAIN STREET","MIDDLETOWN","NY","10940","NY - White Plains","293","56888.74061","11495.65529","10676.89761","291","HF","12.1","26.0","41.439962","-74.369415"
"53","291 - HEART FAILURE & SHOCK W MCC","330127","JACOBI MEDICAL CENTER","1400 PELHAM PARKWAY SOUTH","BRONX","NY","10461","NY - Bronx","40","68237.65","29692.9","25318.275","291","HF","11.5","23.5","40.857455","-73.84721"
"54","291 - HEART FAILURE & SHOCK W MCC","330128","ELMHURST HOSPITAL CENTER","79-01 BROADWAY","ELMHURST","NY","11373","NY - East Long Island","20","40178.4","22149.5","20366.4","291","HF","12.1","21.8","40.74434","-73.88598"
"55","291 - HEART FAILURE & SHOCK W MCC","330135","BON SECOURS COMMUNITY HOSPITAL","160 EAST MAIN STREET","PORT JERVIS","NY","12771","NJ - Morristown","44","32517.22727","11483.70455","9978.5","291","HF","10.7","22.0","41.368207","-74.68252"
"56","291 - HEART FAILURE & SHOCK W MCC","330136","MARY IMOGENE BASSETT HOSPITAL","ONE ATWELL ROAD","COOPERSTOWN","NY","13326","NY - Albany","51","26211.56863","14293.43137","12903.19608","291","HF","13.5","21.5",NA,NA
"57","291 - HEART FAILURE & SHOCK W MCC","330140","ST JOSEPH'S HOSPITAL HEALTH CENTER","301 PROSPECT AVENUE","SYRACUSE","NY","13203","NY - Syracuse","173","24787.02312","10580.21387","9116.040462","291","HF","11.1","23.3","43.055562","-76.149154"
"58","291 - HEART FAILURE & SHOCK W MCC","330141","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","101 HOSPITAL ROAD","PATCHOGUE","NY","11772","NY - East Long Island","151","77243.16556","12204.31126","10645.64238","291","HF","10.4","23.3","40.78029","-72.97823"
"59","291 - HEART FAILURE & SHOCK W MCC","330144","IRA DAVENPORT MEMORIAL HOSPITAL, INC","7571 STATE ROUTE 54","BATH","NY","14810","NY - Rochester","12","14767.66667","10014.41667","9202.083333","291","HF","14.8","22.8","42.37297","-77.278553"
"60","291 - HEART FAILURE & SHOCK W MCC","330153","ELLIS HOSPITAL","1101 NOTT STREET","SCHENECTADY","NY","12308","NY - Albany","78","30988.78205","10019.01282","8667.833333","291","HF","13.5","20.6","42.819818","-73.918883"
"61","291 - HEART FAILURE & SHOCK W MCC","330157","SAMARITAN MEDICAL CENTER","830 WASHINGTON STREET","WATERTOWN","NY","13601","NY - Syracuse","102","29219.96078","14746.72549","13656.97059","291","HF","14.1","21.5","43.965042","-75.912732"
"62","291 - HEART FAILURE & SHOCK W MCC","330158","GOOD SAMARITAN HOSPITAL OF SUFFERN","255 LAFAYETTE AVENUE","SUFFERN","NY","10901","NJ - Ridgewood","115","51617.14783","12061.55652","11371.05217","291","HF","11.8","24.7","41.112389","-74.136248"
"63","291 - HEART FAILURE & SHOCK W MCC","330160","STATEN ISLAND UNIVERSITY HOSPITAL","475 SEAVIEW AVENUE","STATEN ISLAND","NY","10305","NY - Manhattan","107","58737.86916","15160.84112","13525.4486","291","HF","12.1","21.8","40.584082","-74.087013"
"64","291 - HEART FAILURE & SHOCK W MCC","330162","NORTHERN WESTCHESTER HOSPITAL","400 EAST MAIN STREET","MOUNT KISCO","NY","10549","NY - White Plains","46","33549.8913","11464.86957","10507.6087","291","HF","10.7","23.4","41.196692","-73.724449"
"65","291 - HEART FAILURE & SHOCK W MCC","330163","EASTERN NIAGARA HOSPITAL","521 EAST AVENUE","LOCKPORT","NY","14094","NY - Buffalo","40","16619.3","9749.2","8756.675","291","HF","10.5","24.2","43.17638","-78.671075"
"66","291 - HEART FAILURE & SHOCK W MCC","330164","HIGHLAND HOSPITAL","1000 SOUTH AVENUE","ROCHESTER","NY","14620","NY - Rochester","49","13321.44898","11020.42857","10146.55102","291","HF","13.8","20.9","43.135955","-77.607556"
"67","291 - HEART FAILURE & SHOCK W MCC","330167","WINTHROP-UNIVERSITY HOSPITAL","259 FIRST STREET","MINEOLA","NY","11501","NY - East Long Island","121","118204.5041","17744.5124","14920.52066","291","HF","11.4","22.9","40.74167","-73.64344"
"68","291 - HEART FAILURE & SHOCK W MCC","330169","BETH ISRAEL MEDICAL CENTER","FIRST AVENUE AT 16TH STREET","NEW YORK","NY","10003","NY - Manhattan","140","72566.52857","17831.79286","15365.42143","291","HF","10.4","27.2","40.732665","-73.9816"
"69","291 - HEART FAILURE & SHOCK W MCC","330175","CORTLAND REGIONAL MEDICAL CENTER, INC","134 HOMER AVENUE","CORTLAND","NY","13045","NY - Syracuse","58","13391.89655","9468.896552","8928.775862","291","HF","9.7","25.4","42.608997","-76.186117"
"70","291 - HEART FAILURE & SHOCK W MCC","330180","SAMARITAN HOSPITAL","2215 BURDETT AVENUE","TROY","NY","12180","NY - Albany","36","23833.41667","8750.361111","7708.916667","291","HF","12.7","22.0","42.733478","-73.671411"
"71","291 - HEART FAILURE & SHOCK W MCC","330181","GLEN COVE HOSPITAL","101 ST ANDREWS LANE","GLEN COVE","NY","11542","NY - East Long Island","69","38831.05797","11082.7971","10164.65217","291","HF","13.0","22.8",NA,NA
"72","291 - HEART FAILURE & SHOCK W MCC","330182","ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD","ROSLYN","NY","11576","NY - East Long Island","153","71379.80392","12746.48366","10706.30065","291","HF","10.5","21.2","40.804505","-73.672669"
"73","291 - HEART FAILURE & SHOCK W MCC","330184","MONTEFIORE NEW ROCHELLE HOSPITAL","16 GUION PLACE","NEW ROCHELLE","NY","10802","NY - Bronx","54","30156.12963","14885.2037","12887.31481","291","HF","11.5","23.6","40.912968","-73.786997"
"74","291 - HEART FAILURE & SHOCK W MCC","330185","JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","75 NORTH COUNTRY ROAD","PORT JEFFERSON","NY","11777","NY - East Long Island","158","60625.5443","10911.5443","9853.139241","291","HF","8.8","24.3","40.938128","-73.053786"
"75","291 - HEART FAILURE & SHOCK W MCC","330188","MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","5300 MILITARY ROAD","LEWISTON","NY","14092","NY - Buffalo","23","16745.73913","10040.65217","9200.304348","291","HF","12.4","21.3","43.154652","-79.030462"
"76","291 - HEART FAILURE & SHOCK W MCC","330191","GLENS FALLS HOSPITAL","100 PARK STREET","GLENS FALLS","NY","12801","NY - Albany","80","31272.675","9788.3875","8578.7","291","HF","12.4","21.1","43.308335","-73.644551"
"77","291 - HEART FAILURE & SHOCK W MCC","330193","FLUSHING HOSPITAL MEDICAL CENTER","45TH AVENUE AND PARSONS BOULEVARD","FLUSHING","NY","11355","NY - East Long Island","60","38029.56667","17960.06667","15602.95","291","HF","11.5","23.3","40.755636","-73.815645"
"78","291 - HEART FAILURE & SHOCK W MCC","330194","MAIMONIDES MEDICAL CENTER","4802 TENTH AVENUE","BROOKLYN","NY","11219","NY - Manhattan","299","84116.9699","20863.7893","18000.53512","291","HF","8.5","25.2","40.63908","-73.998667"
"79","291 - HEART FAILURE & SHOCK W MCC","330195","LONG ISLAND JEWISH MEDICAL CENTER","270 - 05 76TH AVENUE","NEW HYDE PARK","NY","11040","NY - East Long Island","150","82767.64667","18805.52","16531.99333","291","HF","10.4","24.4",NA,NA
"80","291 - HEART FAILURE & SHOCK W MCC","330196","CONEY ISLAND HOSPITAL","2601 OCEAN PARKWAY","BROOKLYN","NY","11235","NY - Manhattan","93","55718.78495","20404.12903","18217.53763","291","HF","9.3","25.2","40.584965","-73.966279"
"81","291 - HEART FAILURE & SHOCK W MCC","330197","CANTON-POTSDAM HOSPITAL","50 LEROY STREET","POTSDAM","NY","13676","VT - Burlington","28","15903.10714","9956.75","9272.178571","291","HF","11.1","22.1","44.676085","-74.981451"
"82","291 - HEART FAILURE & SHOCK W MCC","330198","SOUTH NASSAU COMMUNITIES HOSPITAL","ONE HEALTHY WAY","OCEANSIDE","NY","11572","NY - East Long Island","145","49768.0069","11665.13103","10510.84138","291","HF","12.6","23.3",NA,NA
"83","291 - HEART FAILURE & SHOCK W MCC","330201","KINGSBROOK JEWISH MEDICAL CENTER","585 SCHENECTADY AVENUE","BROOKLYN","NY","11203","NY - Manhattan","55","56540.2","15911.98182","14224.36364","291","HF","9.0","26.8","40.658929","-73.934072"
"84","291 - HEART FAILURE & SHOCK W MCC","330202","KINGS COUNTY HOSPITAL CENTER","451 CLARKSON AVENUE","BROOKLYN","NY","11203","NY - Manhattan","36","38367.86111","27667.25","25558.47222","291","HF","10.9","27.2","40.655773","-73.944039"
"85","291 - HEART FAILURE & SHOCK W MCC","330203","CROUSE HOSPITAL","736 IRVING AVENUE","SYRACUSE","NY","13210","NY - Syracuse","98","20293.28571","11490.29592","10348.10204","291","HF","12.6","23.5","43.041707","-76.137852"
"86","291 - HEART FAILURE & SHOCK W MCC","330204","BELLEVUE HOSPITAL CENTER","462 FIRST AVENUE","NEW YORK","NY","10016","NY - Manhattan","12","52432.75","27388.41667","24547.33333","291","HF","10.4","21.9","40.739696","-73.976526"
"87","291 - HEART FAILURE & SHOCK W MCC","330205","ST ANTHONY COMMUNITY HOSPITAL","15 - 19  MAPLE AVENUE","WARWICK","NY","10990","NJ - Ridgewood","32","41239.78125","10066.15625","9355.65625","291","HF","12.6","23.6","41.261094","-74.356945"
"88","291 - HEART FAILURE & SHOCK W MCC","330208","ST JOHN'S RIVERSIDE HOSPITAL","976 NORTH BROADWAY","YONKERS","NY","10701","NY - White Plains","118","40611.4661","14485.16102","12645.27966","291","HF","10.5","25.5","40.96784","-73.885107"
"89","291 - HEART FAILURE & SHOCK W MCC","330211","CLAXTON-HEPBURN MEDICAL CENTER","214 KING STREET","OGDENSBURG","NY","13669","NY - Syracuse","14","10950.07143","10046.85714","9358.857143","291","HF","11.0","23.1","44.692091","-75.499934"
"90","291 - HEART FAILURE & SHOCK W MCC","330214","NYU HOSPITALS CENTER","550 FIRST AVENUE","NEW YORK","NY","10016","NY - Manhattan","102","81036.28431","18059.97059","15659","291","HF","7.5","22.4","40.74226","-73.974661"
"91","291 - HEART FAILURE & SHOCK W MCC","330215","ROME MEMORIAL HOSPITAL, INC","1500 NORTH JAMES STREET","ROME","NY","13440","NY - Syracuse","48","26495.4375","8952.25","8221.583333","291","HF","15.0","23.4","43.228954","-75.444248"
"92","291 - HEART FAILURE & SHOCK W MCC","330218","OSWEGO HOSPITAL","110 WEST SIXTH STREET","OSWEGO","NY","13126","NY - Syracuse","47","18090.55319","9835.106383","9141.340426","291","HF","9.6","24.9","43.454141","-76.516001"
"93","291 - HEART FAILURE & SHOCK W MCC","330219","ERIE COUNTY MEDICAL CENTER","462 GRIDER STREET","BUFFALO","NY","14215","NY - Buffalo","46","26920.41304","17177.97826","12458.13043","291","HF","11.6","22.9","42.927236","-78.829151"
"94","291 - HEART FAILURE & SHOCK W MCC","330221","WYCKOFF HEIGHTS MEDICAL CENTER","374 STOCKHOLM STREET","BROOKLYN","NY","11237","NY - Manhattan","60","42666.93333","19808.11667","17489","291","HF","11.2","24.2","40.704699","-73.917648"
"95","291 - HEART FAILURE & SHOCK W MCC","330222","SARATOGA HOSPITAL","211 CHURCH STREET","SARATOGA SPRING","NY","12866","NY - Albany","46","46419.65217","11158.36957","9933.326087","291","HF","14.4","20.3","43.084738","-73.797766"
"96","291 - HEART FAILURE & SHOCK W MCC","330223","MASSENA MEMORIAL HOSPITAL","1 HOSPITAL DRIVE","MASSENA","NY","13662","VT - Burlington","14","13006.71429","10486.28571","9544.571429","291","HF","10.1","22.8","44.936344","-74.907828"
"97","291 - HEART FAILURE & SHOCK W MCC","330226","UNITY HOSPITAL OF ROCHESTER","1555 LONG POND ROAD","ROCHESTER","NY","14626","NY - Rochester","61","15341.59016","10143.88525","8958.295082","291","HF","11.9","22.4","43.191527","-77.701464"
"98","291 - HEART FAILURE & SHOCK W MCC","330231","QUEENS HOSPITAL CENTER","82-68 164TH STREET","JAMAICA","NY","11432","NY - East Long Island","19","45297.26316","21386.21053","17973.05263","291","HF","11.0","23.2","40.71698","-73.803431"
"99","291 - HEART FAILURE & SHOCK W MCC","330232","ST MARY'S HOSPITAL ( TROY )","1300 MASSACHUSETTS AVENUE","TROY","NY","12180","NY - Albany","16","33347","9150","8436","291","HF","12.7","20.4","42.743978","-73.676419"
"100","291 - HEART FAILURE & SHOCK W MCC","330233","BROOKDALE HOSPITAL MEDICAL CENTER","LINDEN BOULEVARD AT BROOKDALE PLAZA","BROOKLYN","NY","11212","NY - Manhattan","41","41952.78049","20927.43902","18281.07317","291","HF","11.5","24.8","40.6545","-73.91275"
"101","291 - HEART FAILURE & SHOCK W MCC","330234","WESTCHESTER MEDICAL CENTER","100 WOODS RD","VALHALLA","NY","10595","NY - White Plains","30","154738.5333","30462.33333","25158.46667","291","HF","12.6","22.6","41.08768","-73.803897"
"102","291 - HEART FAILURE & SHOCK W MCC","330235","AUBURN COMMUNITY HOSPITAL","17 LANSING STREET","AUBURN","NY","13021","NY - Syracuse","64","18507.82813","10427.32813","9785.328125","291","HF","10.9","23.5","42.940761","-76.564607"
"103","291 - HEART FAILURE & SHOCK W MCC","330236","NEW YORK METHODIST HOSPITAL","506 SIXTH STREET","BROOKLYN","NY","11215","NY - Manhattan","177","35779.71186","16553.75706","14473.42938","291","HF","9.7","24.3","40.668263","-73.979141"
"104","291 - HEART FAILURE & SHOCK W MCC","330238","NICHOLAS H NOYES MEMORIAL HOSPITAL","111  CLARA BARTON STREET","DANSVILLE","NY","14437","NY - Rochester","12","11161","9544.833333","8840.833333","291","HF","12.7","21.6","42.55213","-77.700356"
"105","291 - HEART FAILURE & SHOCK W MCC","330239","WOMAN'S CHRISTIAN ASSOCIATION","207 FOOTE AVENUE","JAMESTOWN","NY","14701","PA - Erie","59","16065.47458","8790.237288","8035.254237","291","HF","11.8","20.6","42.091237","-79.23295"
"106","291 - HEART FAILURE & SHOCK W MCC","330240","HARLEM HOSPITAL CENTER","506 LENOX AVENUE","NEW YORK","NY","10037","NY - Manhattan","13","41501.76923","24727.84615","22230.61538","291","HF","11.9","26.2","40.814482","-73.940495"
